Color Name,Hex Code,Serial,Name Code,R,G,B,H,S,V
dusty blue,#5a86ad,636,164502412800677,90,134,173,208.19,47.98,67.84313725
dull blue,#49759c,637,5132920107685,73,117,156,208.19,53.21,61.17647059
steel,#738595,638,20583596,115,133,149,208.24,22.82,58.43137255
cadet blue,#4e7496,639,106796138181285,78,116,150,208.33,48.00,58.82352941
bluish,#2976bb,640,80389736,41,118,187,208.36,78.07,73.33333333
marine blue,#01386a,641,14691998839681700,1,56,106,208.57,99.06,41.56862745
off blue,#5684ae,642,522071388837,86,132,174,208.64,50.57,68.23529412
blue/grey,#758da3,643,2634089220281,117,141,163,208.70,28.22,63.92156863
sky blue,#75bbfd,644,665516585637,117,187,253,209.12,53.75,99.21568627
flat blue,#3c73a8,645,7011162993317,60,115,168,209.44,64.29,65.88235294
twilight blue,#0a437a,646,23897657880615100000,10,67,122,209.46,91.80,47.84313725
darkish blue,#014182,647,145886831246914000,1,65,130,210.23,99.23,50.98039216
denim,#3b638c,648,4372781,59,99,140,210.37,57.86,54.90196078
baby blue,#a2cffe,649,2236400874149,162,207,254,210.65,36.22,99.60784314
cloudy blue,#acc2d9,650,3817131579880100,172,194,217,210.67,20.74,85.09803922
light navy blue,#2e5a88,651,14507523111825400000000,46,90,136,210.67,66.18,53.33333333
mid blue,#276ab3,652,456506028709,39,106,179,211.29,78.21,70.19607843
windows blue,#3778bf,653,839292950614717000,55,120,191,211.32,71.20,74.90196078
medium blue,#2c6fbb,654,14817350949876400,44,111,187,211.89,76.47,73.33333333
dark sky blue,#448ee4,655,4668401692727920000,68,142,228,212.25,70.18,89.41176471
marine,#042e60,656,437855685,4,46,96,212.61,95.83,37.64705882
faded blue,#658cbb,657,212348717576869,101,140,187,212.79,45.99,73.33333333
cerulean blue,#056eee,658,3659926936565660000,5,110,238,212.96,97.90,93.33333333
deep sky blue,#0d75f8,659,4798056103875260000,13,117,248,213.45,94.76,97.25490196
dusk blue,#26538d,660,5140402746021,38,83,141,213.79,73.05,55.29411765
powder blue,#b1d1fc,661,18567596301431500,177,209,252,214.40,29.76,98.82352941
light blue grey,#b7c9e2,662,14507523099007500000000,183,201,226,214.88,19.03,88.62745098
dark,#1b2431,663,132683,27,36,49,215.45,44.90,19.21568627
bright blue,#0165fc,664,2895263926661790,1,101,252,216.10,99.60,98.82352941
carolina blue,#8ab8fe,665,3515600793218660000,138,184,254,216.21,45.67,99.60784314
clear blue,#247afd,666,118920763749029,36,122,253,216.22,85.77,99.21568627
french blue,#436bad,667,7394700254327460,67,107,173,217.36,61.27,67.84313725
cobalt,#1e488f,668,116458900,30,72,143,217.70,79.02,56.07843137
denim blue,#3b5b92,669,146726214251173,59,91,146,217.93,59.59,57.25490196
dodger blue,#3e82fc,670,5036009777607330,62,130,252,218.53,75.40,98.82352941
navy,#01153e,671,460505,1,21,62,220.33,98.39,24.31372549
lightish blue,#3d7afd,672,14167502322948700000,61,122,253,220.94,75.89,99.21568627
pastel blue,#a2bffe,673,18071166600164000,162,191,254,221.09,36.22,99.60784314
dusky blue,#475f94,674,164492749124261,71,95,148,221.30,52.03,58.03921569
azul,#1d5dec,675,60076,29,93,236,221.45,87.71,92.54901961
electric blue,#0652ff,676,6202710758416000000,6,82,255,221.69,97.65,100
blue,#0343df,677,78501,3,67,223,222.55,98.65,87.45098039
soft blue,#6488ea,678,21413262078629,100,136,234,223.88,57.26,91.76470588
navy blue,#001146,679,15452015243941,0,17,70,225.43,100.00,27.45098039
cornflower blue,#5170d7,680,4116441369505570000000,81,112,215,226.12,62.33,84.31372549
vibrant blue,#0339f8,681,802856843627017000,3,57,248,226.78,98.79,97.25490196
blue blue,#2242c7,682,2634088002213,34,66,199,228.36,82.91,78.03921569
sapphire,#2138ab,683,654462690885,33,56,171,230.00,80.70,67.05882353
dusk,#4e5481,684,153195,78,84,129,232.94,39.53,50.58823529
vivid blue,#152eff,685,784717534278309,21,46,255,233.59,91.76,100
cornflower,#6a79f7,686,122679512784050,106,121,247,233.62,57.09,96.8627451
rich blue,#021bf9,687,20103968141989,2,27,249,233.93,99.20,97.64705882
periwinkle blue,#8f99fb,688,19095036446613200000000,143,153,251,234.44,43.03,98.43137255
light periwinkle,#c1c6fc,689,464240739653026000000000,193,198,252,234.92,23.41,98.82352941
warm blue,#4b57db,690,25342922273445,75,87,219,235.00,65.75,85.88235294
royal,#0c1793,691,19391532,12,23,147,235.11,91.84,57.64705882
dark navy,#000435,692,4452134618841,0,4,53,235.47,100.00,20.78431373
true blue,#010fcc,693,22631455732389,1,15,204,235.86,99.51,80
twilight,#4e518b,694,712205704468,78,81,139,237.05,43.88,54.50980392
dark navy blue,#00022e,695,149388848322778000000,0,2,46,237.39,100.00,18.03921569
cobalt blue,#030aa7,696,3907712272380580,3,10,167,237.44,98.20,65.49019608
darkblue,#030764,697,139128287909,3,7,100,237.53,97.00,39.21568627
dark royal blue,#02066f,698,4780443302536280000000,2,6,111,237.80,98.20,43.52941176
dark blue,#00035b,699,4452134236837,0,3,91,238.02,100.00,35.68627451
very dark blue,#000133,700,818099072593564000000,0,1,51,238.82,100.00,20
pure blue,#0203e2,701,18333267210917,2,3,226,239.73,99.12,88.62745098
pale grey,#fdfdfe,702,17639630162105,253,253,254,240.00,0.39,99.60784314
royal blue,#0504aa,703,650671873405605,5,4,170,240.36,97.65,66.66666667
night blue,#040348,704,502726624621221,4,3,72,240.87,95.83,28.23529412
primary blue,#0804f9,705,597057958184039000,8,4,249,240.98,98.39,97.64705882
deep blue,#040273,706,4575782318757,4,2,115,241.06,98.26,45.09803922
strong blue,#0c06f7,707,22116107575964300,12,6,247,241.49,97.57,96.8627451
lavender blue,#8b88f8,708,13896048108718100000,139,136,248,241.61,45.16,97.25490196
perrywinkle,#8f8ce7,709,18210757679721900,143,140,231,241.98,39.39,90.58823529
midnight blue,#020035,710,15317245059311700000,2,0,53,242.26,100.00,20.78431373
midnight,#03012d,711,456489475348,3,1,45,242.73,97.78,17.64705882
light royal blue,#3a2efe,712,464240739734621000000000,58,46,254,243.46,81.89,99.60784314
blueberry,#464196,713,2634058746457,70,65,150,243.53,56.67,58.82352941
dark periwinkle,#665fd1,714,4780443220940830000000,102,95,209,243.68,54.55,81.96078431
ultramarine blue,#1805db,715,808283341641536000000000,24,5,219,245.33,97.72,85.88235294
iris,#6258c4,716,313651,98,88,196,245.56,55.10,76.8627451
periwinkle,#8e82fe,717,569076432186757,142,130,254,245.81,48.82,99.60784314
light indigo,#6d5acf,718,442734469810628000,109,90,207,249.74,56.52,81.17647059
blue with hint of purple,#533cc6,719,99513057036262000000000000000000000,83,60,198,250.00,69.70,77.64705882
ultramarine,#2000b1,720,24088720728204700,32,0,177,250.85,100.00,69.41176471
purpleish blue,#6140ef,721,615174122740262000000,97,64,239,251.31,73.22,93.7254902
blurple,#5539cc,722,2572763525,85,57,204,251.43,72.06,80
indigo blue,#3a18b1,723,10630395706028700,58,24,177,253.33,86.44,69.41176471
purpley blue,#5f34e7,724,600755979786728000,95,52,231,254.41,77.49,90.58823529
bluey purple,#6241c7,725,86313654057255300,98,65,199,254.78,67.34,78.03921569
blue purple,#5729ce,726,2697306593378690,87,41,206,256.73,80.10,80.78431373
purple blue,#632de9,727,18773624372671100,99,45,233,257.23,80.69,91.37254902
dark indigo,#1f0954,728,4558985694946540,31,9,84,257.60,89.29,32.94117647
purplish blue,#601ef9,729,19224191483462600000,96,30,249,258.08,87.95,97.64705882
burple,#6832e3,730,89735557,104,50,227,258.31,77.97,89.01960784
bluish purple,#703be7,731,2762170329204340000,112,59,231,258.49,74.46,90.58823529
purple/blue,#5d21d0,732,18773624373719700,93,33,208,260.57,84.13,81.56862745
purpley,#8756e4,733,17903923385,135,86,228,260.70,62.28,89.41176471
purply blue,#661aee,734,18773625043759800,102,26,238,261.51,89.08,93.33333333
blue/purple,#5a06ef,735,2697307667120510,90,6,239,261.63,97.49,93.7254902
violet blue,#510ac9,736,25103368361947800,81,10,201,262.30,95.02,78.82352941
blue violet,#5d06e9,737,2697306782019760,93,6,233,263.00,97.42,91.37254902
pale violet,#ceaefa,738,18062981780189400,206,174,250,265.26,30.40,98.03921569
indigo,#380282,739,316810479,56,2,130,265.31,98.46,50.98039216
pastel purple,#caa0ff,740,18504874599047100000,202,160,255,266.53,37.25,100
light lavender,#dfc5fe,741,453360097175803000000,223,197,254,267.37,22.44,99.60784314
light violet,#d6b4fc,742,442734470241956000,214,180,252,268.33,28.57,98.82352941
pale lilac,#e4cbff,743,564468170141731,228,203,255,268.85,20.39,100
lilac,#cea2fd,744,12890147,206,162,253,269.01,35.97,99.21568627
liliac,#c48efd,745,412492835,196,142,253,269.19,43.87,99.21568627
lighter purple,#a55af4,746,453360069925125000000,165,90,244,269.22,63.11,95.68627451
lavender,#c79fef,747,414134505650,199,159,239,270.00,33.47,93.7254902
light urple,#b36ff6,748,13835452194308500,179,111,246,270.22,54.88,96.47058824
deep lilac,#966ebd,749,146425044578339,150,110,189,270.38,41.80,74.11764706
baby purple,#ca9bf7,750,2290074974241150,202,155,247,270.65,37.25,96.8627451
deep lavender,#8d5eb7,751,4798055852493180000,141,94,183,271.69,48.63,71.76470588
easter purple,#c071fe,752,5822738254530170000,192,113,254,273.62,55.51,99.60784314
lightish purple,#a552e6,753,14507522378700000000000,165,82,230,273.65,64.35,90.19607843
light purple,#bf77f6,754,442734470053315000,191,119,246,274.02,51.63,96.47058824
pale purple,#b790d4,755,18062981591548300,183,144,212,274.41,32.08,83.1372549
vivid purple,#9900fa,756,803550755580101000,153,0,250,276.72,100.00,98.03921569
dark lavender,#856798,757,4668401441345840000,133,103,152,276.73,32.24,59.60784314
electric purple,#aa23ff,758,6351575816618470000000,170,35,255,276.82,86.27,100
amethyst,#9b5fc0,759,48507414132,155,95,192,277.11,50.52,75.29411765
wisteria,#a87dc2,760,800596347169,168,125,194,277.39,35.57,76.07843137
violet,#9a0eea,761,748138676,154,14,234,278.18,94.02,91.76470588
bright lavender,#c760ff,762,3035904267495140000000,199,96,255,278.87,62.35,100
pale lavender,#eecffe,763,18496492990954400000,238,207,254,279.57,18.50,99.60784314
bright violet,#ad0afd,764,2964750261569430000,173,10,253,280.25,96.05,99.21568627
light lilac,#edc8ff,765,13835452184571900,237,200,255,280.36,21.57,100
grey purple,#826d8c,766,8521007368847740,130,109,140,280.65,22.14,54.90196078
bright lilac,#c95efb,767,92648445663555600,201,94,251,280.89,62.55,98.43137255
royal purple,#4b006e,768,666287998846452000,75,0,110,280.91,100.00,43.1372549
greyish purple,#887191,769,279215633455342000000,136,113,145,283.13,22.07,56.8627451
neon purple,#bc13fe,770,15955527038747000,188,19,254,283.15,92.52,99.60784314
midnight purple,#280137,771,15684858940735600000000,40,1,55,283.33,98.18,21.56862745
bright purple,#be03fd,772,2964750261380790000,190,3,253,284.88,98.81,99.21568627
light lavendar,#efc0fe,773,453360097175803000000,239,192,254,285.48,24.41,99.60784314
purple,#7e1e9c,774,559497605,126,30,156,285.71,80.77,61.17647059
purply,#983fb2,775,559497625,152,63,178,286.43,64.61,69.80392157
vibrant purple,#ad03de,776,822125407874544000000,173,3,222,286.58,98.65,87.05882353
purplish grey,#7a687f,777,19224191483462800000,122,104,127,286.96,18.11,49.80392157
soft purple,#a66fb5,778,21927180847628700,166,111,181,287.14,38.67,70.98039216
heather,#a484ac,779,8759419058,164,132,172,288.00,23.26,67.45098039
very dark purple,#2a0134,780,837733450335810000000000,42,1,52,288.24,98.08,20.39215686
faded purple,#916e99,781,217445087277826000,145,110,153,288.84,28.10,60
dark violet,#34013f,782,4558986126274740,52,1,63,289.35,98.41,24.70588235
hot purple,#cb00f5,783,298687617646981,203,0,245,289.71,100.00,96.07843137
heliotrope,#d94ff5,784,287395040280069,217,79,245,289.88,67.76,96.07843137
dark lilac,#9c6da5,785,142468305956899,156,109,165,290.36,33.94,64.70588235
dark purple,#35063e,786,4558985937633660,53,6,62,290.36,90.32,24.31372549
muted purple,#805b87,787,492727614500848000,128,91,135,290.45,32.59,52.94117647
deep purple,#36013f,788,4685601573519740,54,1,63,291.29,98.41,24.70588235
very light purple,#f6cefc,789,26807470707592800000000000,246,206,252,292.17,18.25,98.82352941
dusty purple,#825f87,790,168450471187006000,130,95,135,292.50,29.63,52.94117647
barney,#ac1db8,791,68761785,172,29,184,295.35,84.24,72.15686275
medium purple,#9e43a2,792,15172967373152500000,158,67,162,297.47,58.64,63.52941176
purple/pink,#d725de,793,18773624374175200,215,37,222,297.73,83.33,87.05882353
plum purple,#4e0550,794,18460180167082400,78,5,80,298.40,93.75,31.37254902
pinkish purple,#d648d7,795,601189229815128000000,214,72,215,299.58,66.51,84.31372549
violet pink,#fb5ffc,796,25103368362403300,251,95,252,299.62,62.30,98.82352941
purpley grey,#947e94,797,600755979786898000,148,126,148,300.00,14.86,58.03921569
pink purple,#db4bda,798,18346861749944700,219,75,218,300.42,65.75,85.88235294
deep violet,#490648,799,4685601762160820,73,6,72,300.90,91.78,28.62745098
light magenta,#fa5ff7,800,14167503037801900000,250,95,247,301.16,62.00,98.03921569
darkish purple,#751973,801,149388115197319000000,117,25,115,301.30,78.63,45.88235294
eggplant purple,#430541,802,6169872993999930000000,67,5,65,301.94,92.54,26.2745098
pink/purple,#ef1de7,803,18346862823686500,239,29,231,302.29,87.87,93.7254902
ugly purple,#a442a0,804,23904274553061800,164,66,160,302.45,59.76,64.31372549
purple grey,#866f85,805,18773624372840600,134,111,133,302.61,17.16,52.54901961
pale mauve,#fed0fc,806,564468170938053,254,208,252,302.61,18.11,99.60784314
orchid,#c875c4,807,522297636,200,117,196,302.89,41.50,78.43137255
purple pink,#e03fd8,808,18773624373126600,224,63,216,302.98,71.88,87.84313725
barney purple,#a00498,809,2362636975088420000,160,4,152,303.08,97.50,62.74509804
warm purple,#952e8f,810,25951152887120300,149,46,143,303.50,69.13,58.43137255
light eggplant,#894585,811,453360096941236000000,137,69,133,303.53,49.64,53.7254902
eggplant,#380835,812,179566937556,56,8,53,303.75,85.71,21.96078431
lavender pink,#dd85d7,813,13896048108718500000,221,133,215,304.09,39.82,86.66666667
purply pink,#f075e6,814,18773625044215200,240,117,230,304.88,51.25,94.11764706
pinky purple,#c94cbe,815,587099419067368000,201,76,190,305.28,62.19,78.82352941
fuchsia,#ed0dd9,816,7150521633,237,13,217,305.36,94.51,92.94117647
bright magenta,#ff08e8,817,94872008360281200000,255,8,232,305.59,96.86,100
dusty lavender,#ac86a8,818,172493282336703000000,172,134,168,306.32,22.09,67.45098039
purpley pink,#c83cb9,819,600755979787184000,200,60,185,306.43,70.00,78.43137255
purplish,#94568c,820,572925552232,148,86,140,307.74,41.89,58.03921569
dull purple,#84597e,821,5256110669382020,132,89,126,308.37,32.58,51.76470588
candy pink,#ff63e9,822,107138830050763,255,99,233,308.46,61.18,100
purpleish pink,#df4ec8,823,615174122740263000000,223,78,200,309.52,65.02,87.45098039
grape purple,#5d1451,824,272520758584492000,93,20,81,309.86,78.49,36.47058824
purpleish,#98568d,825,18333617530472,152,86,141,310.00,43.42,59.60784314
aubergine,#3d0734,826,1823400502725,61,7,52,310.00,88.52,23.92156863
hot magenta,#f504c9,827,9557999860497020,245,4,201,310.95,98.37,96.07843137
grape,#6c3461,828,7931397,108,52,97,311.79,51.85,42.35294118
bruise,#7e4071,829,86681189,126,64,113,312.58,49.21,49.41176471
rich purple,#720058,830,20586463856509300,114,0,88,313.68,100.00,44.70588235
purplish pink,#ce5dae,831,19224191483463100000,206,93,174,316.99,54.85,80.78431373
dusky purple,#895b7b,832,168440575582356000,137,91,123,318.26,33.58,53.7254902
bright pink,#fe01b1,833,2895263927117250,254,1,177,318.26,99.61,99.60784314
dark plum,#3f012c,834,4452134695597,63,1,44,318.39,98.41,24.70588235
plum,#580f41,835,537261,88,15,65,318.90,82.95,34.50980392
velvet,#750851,836,743856308,117,8,81,319.82,93.16,45.88235294
dirty purple,#734a65,837,154904487932806000,115,74,101,320.49,35.65,45.09803922
red violet,#9e0168,838,638986655084724,158,1,104,320.64,99.37,61.96078431
shocking pink,#fe02a2,839,22210745434565500000,254,2,162,321.90,99.21,99.60784314
light plum,#9d5783,840,432357880902317,157,87,131,322.29,44.59,61.56862745
pale magenta,#d767ad,841,578015407025339000,215,103,173,322.50,52.09,84.31372549
magenta,#c20078,842,13999716993,194,0,120,322.89,100.00,76.07843137
neon pink,#fe019a,843,15581569361355,254,1,154,323.72,99.61,99.60784314
bubblegum pink,#fe83cc,844,98073065258991800000,254,131,204,324.39,48.43,99.60784314
dark magenta,#960056,845,145887546100071000,150,0,86,325.60,100.00,58.82352941
deep magenta,#a0025c,846,149939246448426000,160,2,92,325.82,98.75,62.74509804
electric pink,#ff0490,847,6202710758416460000,255,4,144,326.53,98.43,100
hot pink,#ff028d,848,291687114187,255,2,141,327.04,99.22,100
dark fuchsia,#9d0759,849,145887539250876000,157,7,89,327.20,95.54,61.56862745
reddish purple,#910951,850,669996350822001000000,145,9,81,328.24,93.79,56.8627451
strong pink,#ff0789,851,22116107576419800,255,7,137,328.55,97.25,100
red purple,#820747,852,638986466443653,130,7,71,328.78,94.62,50.98039216
barbie pink,#fe46a5,853,2306853977990600,254,70,165,329.02,72.44,99.60784314
violet red,#a50055,854,784480261327012,165,0,85,329.09,100.00,64.70588235
pink,#ff81c0,855,533963,255,129,192,330.00,49.41,100
mulberry,#920a4e,856,469630110297,146,10,78,330.00,93.15,57.25490196
bubblegum,#ff6cb5,857,2922805108397,255,108,181,330.20,57.65,100
merlot,#730039,858,442053108,115,0,57,330.26,100.00,45.09803922
wine,#80013f,859,763333,128,1,63,330.71,99.22,50.19607843
deep pink,#cb0162,860,4575782774219,203,1,98,331.19,99.51,79.60784314
dark hot pink,#d90166,861,4668401318898440000,217,1,102,331.94,99.54,85.09803922
bubble gum pink,#ff69af,862,3138338113103500000000,255,105,175,332.00,58.82,100
purple red,#990147,863,586675761662116,153,1,71,332.37,99.35,60
berry,#990f4b,864,2280025,153,15,75,333.91,90.20,60
raspberry,#b00149,865,19846509283929,176,1,73,335.31,99.43,69.01960784
cerise,#de0c62,866,106505829,222,12,98,335.43,94.59,87.05882353
purplish red,#b0054b,867,600755983858223000,176,5,75,335.44,97.16,69.01960784
powder pink,#ffb2d0,868,18567596301886900,255,178,208,336.62,30.20,100
dark mauve,#874c62,869,142468306753221,135,76,98,337.63,43.70,52.94117647
darkish pink,#da467d,870,145886831247370000,218,70,125,337.70,67.89,85.49019608
red wine,#8c0034,871,624010438085,140,0,52,337.71,100.00,54.90196078
cranberry,#9e003a,872,3918555957849,158,0,58,337.97,100.00,61.96078431
medium pink,#f36196,873,14817350950331900,243,97,150,338.22,60.08,95.29411765
burgundy,#610023,874,91880077465,97,0,35,338.35,100.00,38.03921569
bordeaux,#7b002c,875,85433943736,123,0,44,338.54,100.00,48.23529412
ruby,#ca0147,876,611417,202,1,71,339.10,99.50,79.21568627
maroon,#650021,877,437861870,101,0,33,340.40,100.00,39.60784314
baby pink,#ffb7ce,878,2236401329611,255,183,206,340.83,28.24,100
light mauve,#c292a1,879,13835452185368300,194,146,161,341.25,24.74,76.07843137
carnation pink,#ff7fa7,880,112497724392351000000,255,127,167,341.25,50.20,100
rose red,#be013c,881,635225196708,190,1,60,341.27,99.47,74.50980392
pink red,#f5054f,882,559901788324,245,5,79,341.50,97.96,96.07843137
pinky,#fc86aa,883,17086841,252,134,170,341.69,46.83,98.82352941
light pink,#ffd1df,884,432357880899019,255,209,223,341.74,18.04,100
dark pink,#cb416b,885,4452134692299,203,65,107,341.74,67.98,79.60784314
dull pink,#d5869d,886,5132920563147,213,134,157,342.53,37.09,83.52941176
lipstick,#d5174e,887,422537995371,213,23,78,342.63,89.20,83.52941176
pastel pink,#ffbacd,888,18071166600619500,255,186,205,343.48,27.06,100
muted pink,#d1768f,889,481179311023563,209,118,143,343.52,43.54,81.96078431
pale pink,#ffcfdc,890,17639630448075,255,207,220,343.75,18.82,100
rosy pink,#f6688e,891,20327877322187,246,104,142,343.94,57.72,96.47058824
wine red,#7b0323,892,800413665444,123,3,35,344.00,97.56,48.23529412
warm pink,#fb5581,893,25342922728907,251,85,129,344.10,66.14,98.43137255
mauve,#ae7181,894,13686469,174,113,129,344.26,35.06,68.23529412
pig pink,#e78ea5,895,559686362571,231,142,165,344.49,38.53,90.58823529
rouge,#ab1239,896,19387621,171,18,57,344.71,89.47,67.05882353
light burgundy,#a8415b,897,453360096853549000000,168,65,91,344.85,61.31,65.88235294
rosa,#fe86a4,898,605793,254,134,164,345.00,47.24,99.60784314
deep rose,#c74767,899,4575782846053,199,71,103,345.00,64.32,78.03921569
pinkish red,#f10c45,900,18346839288793300,241,12,69,345.07,95.02,94.50980392
cherry,#cf0234,901,109234777,207,2,52,345.37,99.03,81.17647059
lipstick red,#c0022f,902,443063201035143000,192,2,47,345.79,98.96,75.29411765
faded pink,#de9dac,903,212348718032331,222,157,172,346.15,29.28,87.05882353
brownish purple,#76424e,904,3043404613445320000000,118,66,78,346.15,44.07,46.2745098
claret,#680018,905,113297588,104,0,24,346.15,100.00,40.78431373
grey pink,#c3909b,906,8321296246219,195,144,155,347.06,26.15,76.47058824
soft pink,#fdb0c0,907,21413262534091,253,176,192,347.53,30.43,99.21568627
dusky pink,#cc7a8b,908,164492749579723,204,122,139,347.56,40.20,80
red pink,#fa2a55,909,624010208715,250,42,85,347.60,83.20,98.03921569
neon red,#ff073a,910,486924044452,255,7,58,347.66,97.25,100
dark rose,#b5485d,911,4452134764133,181,72,93,348.44,60.22,70.98039216
reddish pink,#fe2c54,912,654293311349598000,254,44,84,348.57,82.68,99.60784314
pinkish,#d46a7e,913,17496909416,212,106,126,348.68,50.00,83.1372549
rose,#cf6275,914,605797,207,98,117,349.54,52.66,81.17647059
ugly pink,#cd7584,915,23344018105803,205,117,132,349.77,42.93,80.39215686
rose pink,#f7879a,916,20327206233547,247,135,154,349.82,45.34,96.8627451
old pink,#c77986,917,528447186379,199,121,134,350.00,39.20,78.03921569
carnation,#fd798f,918,3352693450222,253,121,143,350.00,52.17,99.21568627
light maroon,#a24857,919,442734469931679000,162,72,87,350.00,55.56,63.52941176
cherry red,#f7022a,920,114540966529188,247,2,42,350.20,99.19,96.8627451
pinky red,#fc2647,921,17916852390052,252,38,71,350.75,84.92,98.82352941
old rose,#c87f89,922,528447258213,200,127,137,351.78,36.50,78.43137255
dusky rose,#ba6873,923,164492749651557,186,104,115,351.95,44.09,72.94117647
dusty pink,#d58a94,924,164502413256139,213,138,148,352.00,35.21,83.52941176
dark maroon,#3c0008,925,4558985815997930,60,0,8,352.00,100.00,23.52941176
lightish red,#fe2f4a,926,442734447592164000,254,47,74,352.17,81.50,99.60784314
carmine,#9d0216,927,3274089925,157,2,22,352.26,98.73,61.56862745
scarlet,#be0119,928,20503408820,190,1,25,352.38,99.47,74.50980392
strawberry,#fb2943,929,691113625307737,251,41,67,352.57,83.67,98.43137255
purplish brown,#6b4247,930,615174127470804000000,107,66,71,352.68,38.32,41.96078431
greyish pink,#c88d94,931,272671517046220000,200,141,148,352.88,29.50,78.43137255
purple brown,#673a3f,932,600755979925668000,103,58,63,353.33,43.69,40.39215686
crimson,#8c000f,933,3835088366,140,0,15,353.57,100.00,54.90196078
watermelon,#fd4659,934,811033250935278,253,70,89,353.77,72.33,99.21568627
light rose,#ffc5cb,935,432357880970853,255,197,203,353.79,22.75,100
dusty rose,#c0737a,936,164502413327973,192,115,122,354.55,40.10,75.29411765
blush pink,#fe828c,937,84305139738059,254,130,140,355.16,48.82,99.60784314
pale rose,#fdc1c5,938,17639630519909,253,193,197,356.00,23.72,99.21568627
dirty pink,#ca7b80,939,151273913984459,202,123,128,356.20,39.11,79.21568627
dusty red,#b9484e,940,5140700416164,185,72,78,356.81,61.08,72.54901961
bright red,#ff000d,941,90476997724324,255,0,13,356.94,100.00,100
faded red,#d3494e,942,6635897440420,211,73,78,357.83,65.40,82.74509804
darkish red,#a90308,943,4558963476482210,169,3,8,358.19,98.22,66.2745098
light red,#ff474c,944,13511183780004,255,71,76,358.37,72.16,100
blood red,#980002,945,2627954755748,152,0,2,359.21,100.00,59.60784314
coral pink,#ff6163,946,122665774360011,255,97,99,359.24,61.96,100
blood,#770001,947,2506212,119,0,1,359.50,100.00,46.66666667
fire engine red,#fe0002,948,7436557817262140000000,254,0,2,359.53,100.00,99.60784314
salmon pink,#fe7b7c,949,21440940026111400,254,123,124,359.54,51.57,99.60784314